holdout,model,best_val_cindex_macenko,best_val_cindex_raw,test_cindex_macenko,test_cindex_raw,delta_test_cindex_mac_minus_raw,delta_val_cindex_mac_minus_raw
tss_holdout_A2_BH,abmil,0.6345846645367412,0.6809105431309904,0.5567632850241546,0.5471014492753623,0.009661835748792313,-0.04632587859424919
tss_holdout_A2_BH,transmil,0.6369808306709265,0.7176517571884984,0.5760869565217391,0.4758454106280193,0.10024154589371981,-0.0806709265175719
tss_holdout_A2_E2,abmil,0.5677083333333334,0.5520833333333334,0.5603864734299517,0.6388888888888888,-0.0785024154589371,0.015625
tss_holdout_A2_E2,transmil,0.65625,0.6822916666666666,0.606280193236715,0.6086956521739131,-0.0024154589371980784,-0.02604166666666663
tss_holdout_BH_A2,abmil,0.5772946859903382,0.5471014492753623,0.5543130990415336,0.6693290734824281,-0.11501597444089451,0.03019323671497587
tss_holdout_BH_A2,transmil,0.6135265700483091,0.5471014492753623,0.4532747603833866,0.7048722044728435,-0.2515974440894569,0.06642512077294682
tss_holdout_BH_E2,abmil,0.5807291666666666,0.4869791666666667,0.5862619808306709,0.6797124600638977,-0.0934504792332268,0.09374999999999994
tss_holdout_BH_E2,transmil,0.6614583333333334,0.5833333333333334,0.5051916932907349,0.7264376996805112,-0.22124600638977632,0.078125
tss_holdout_E2_A2,abmil,0.5857487922705314,0.6388888888888888,0.5442708333333334,0.5520833333333334,-0.0078125,-0.05314009661835739
tss_holdout_E2_A2,transmil,0.6135265700483091,0.6195652173913043,0.6536458333333334,0.6692708333333334,-0.015625,-0.006038647342995196
tss_holdout_E2_BH,abmil,0.639776357827476,0.6841054313099042,0.5859375,0.4895833333333333,0.09635416666666669,-0.044329073482428205
tss_holdout_E2_BH,transmil,0.6429712460063898,0.7356230031948882,0.6979166666666666,0.5598958333333334,0.13802083333333326,-0.09265175718849838
