stain_condition,tss,rgb_mean_r_mean,rgb_mean_r_std,rgb_mean_g_mean,rgb_mean_g_std,rgb_mean_b_mean,rgb_mean_b_std,rgb_std_r_mean,rgb_std_r_std,rgb_std_g_mean,rgb_std_g_std,rgb_std_b_mean,rgb_std_b_std,lab_mean_l_mean,lab_mean_l_std,lab_mean_a_mean,lab_mean_a_std,lab_mean_b_mean,lab_mean_b_std,lab_std_l_mean,lab_std_l_std,lab_std_a_mean,lab_std_a_std,lab_std_b_mean,lab_std_b_std
macenko,3C,213.60297201077142,16.981583220854557,219.33236887057623,14.724376359082976,234.70161853233972,7.033231450422654,46.412395023285875,6.785990708659042,27.693044804417337,1.6194734744740118,20.03561498029921,1.8364258064785413,224.06400046745935,12.783259443500507,130.11860863367716,1.2391249652118295,120.37106400728226,3.8414509408493127,23.7493617311212,1.1013865960893017,13.15036811400253,3.2304906078179303,5.564961407315909,0.38650340974936426
macenko,4H,207.71339231729507,,219.713377058506,,233.9285854101181,,47.135287114602335,,29.952107968959098,,22.588778781888525,,223.1487417817116,,127.79585218429564,,120.21642661094666,,25.49648950130594,,13.619399791824703,,5.197464690854023,
macenko,5T,222.0927261710167,,213.65951865911484,,228.37604761123657,,37.3979442535856,,26.43036972844408,,20.374113379060628,,221.2856122851372,,134.24385499954224,,122.15874564647676,,22.21883972090235,,10.369148483039716,,5.013393323387892,
macenko,A1,191.10306046406427,20.6258133055211,214.69928182661533,6.949557029577717,231.9795633753141,3.6793781688671388,64.17680913590247,10.170542868378496,27.995292082041853,1.227898521082085,20.139914225570454,0.5504989410092008,218.2343717465798,6.881723724602999,127.11727596819401,3.4292648519445894,118.30398193995158,2.978396381538248,24.869085939277728,1.2126379550294923,14.760752262923353,1.7259531307301894,7.559674830783583,1.0115221895401592
macenko,A2,207.4296189089014,18.456818186720604,214.88618984065874,7.096750462750374,232.50271450871168,3.4209689050284195,49.681691955716914,11.942013607258337,28.766715139929477,1.5598546437171548,20.63728023748095,0.8128567861804514,220.42562960735475,6.790831704395848,130.7781818888404,3.580793156119874,119.39559514594801,2.689581109075099,24.346125510549285,1.199797277671481,13.937179010348153,1.7207535072183613,6.089471422114857,1.0934731810389944
macenko,A7,196.29067623615265,18.02860423115757,212.79101893731527,6.302052268588491,231.5539575644902,3.082852430336584,57.83834108568817,11.376763497464289,27.634839891805097,1.1672296847409867,20.415236741145286,0.7363858900165565,217.68271596658798,6.281716394592348,129.22875671159653,3.154169246502206,118.23618493619419,2.53020809650093,23.98061209181211,1.1190851282101402,14.675410728463655,1.7728325302351664,6.763154754975885,1.1346489322781164
macenko,A8,204.9831606415904,12.968139078254653,216.15403510714563,7.110640667203392,232.1901360476169,3.222445437434549,47.74141140896084,7.05854778596255,29.862910966119415,1.2753267792736187,22.233426203822354,0.9383123692046297,220.44893740207647,6.476452217188714,128.7911219038647,2.342893642931745,119.55074160967848,2.3292011251359717,25.036926911782068,1.0495674646425859,14.017865105165743,1.7840711722637363,5.354355952944383,0.7311947268790626
macenko,AC,210.3431165166852,15.625100195794198,213.93615691101755,6.848318156644418,231.61443316924385,3.3121440838272935,45.35970618713853,11.98658635550452,28.58789348712395,1.1716091302945153,20.895931871367452,0.680323818147471,220.0542402534468,6.558215895081779,131.76795906272852,2.5459354710144684,119.66882355944499,2.5703546137780457,24.1403407698072,1.1735777441536603,12.91419160715901,1.993142221764269,5.834976505277212,1.1671886385655919
macenko,AN,195.27461932551475,15.895226098884027,211.04249714459144,5.523942802966209,230.4630154255898,2.9400147541008868,58.43657386568681,9.546406889989434,27.998125458689792,1.3668586675704182,21.01250673687849,0.7098403779925041,216.01870516423256,5.232746803570393,129.14812497362013,3.2094948106475125,117.82814416962285,2.053239289531368,24.394031719852563,1.1994433701236287,15.153737327208955,1.4467859546724096,6.881040960648793,0.8848397545341815
macenko,AO,211.28104278704396,15.036259494286575,217.2727114363857,7.180841091332504,233.32988892819571,3.562732445562767,51.595475428592735,11.341465929187436,28.725162006588835,1.4815317557001355,20.335915210430162,0.8851667969505509,222.75270060611808,6.408732633818985,130.9747124599374,2.8835674272601377,120.34087928481723,2.4189880658535867,24.30000391446431,1.3551080713918542,13.780912790605889,1.9644564555151847,6.204950747191416,1.1673703743002852
macenko,AQ,195.65656653472357,22.061799726927283,215.37330817324775,9.945880685596793,232.52684907402312,5.275687960543661,59.96313813778723,13.11656273294754,27.187317182464387,1.949469766937232,20.000321526720477,0.7607257145628572,219.2693168946675,9.32687224540983,127.88469727550235,2.801063295606108,118.63323311294828,3.390687841263404,23.95676448207603,1.7994480395793437,14.478622100742692,2.3185503662728615,7.005616539583722,1.2373838060977367
macenko,AR,199.66502269969058,19.04935597631656,211.21712485178193,6.525660690985097,230.48067977179343,3.3087696074544906,51.12078571648241,11.345112464904636,28.360659236566352,1.4578100782666708,21.053720038542878,0.5241867644570212,216.7472032984691,6.762899835773145,130.22047550464745,3.1920118647007754,118.2721344757436,2.7230757261455003,24.06538929547754,1.0164705198437027,14.271499092909746,1.7171657153583288,6.138164267334136,1.1322350152714897
macenko,B6,200.70977900385856,19.227708268860237,215.84270130157472,7.846092614932958,233.02397661089898,3.8291536734531166,56.10081952254693,12.399095578527378,28.536484954283704,1.5282219097749559,20.558095297994267,0.8146801726331082,220.1791544318199,7.5175661371279965,128.7018819665909,3.1529747494032603,118.92992129802704,2.8024516002065365,24.57507548896212,1.0871462314411802,14.833932062573409,2.081560599149076,6.451196370629342,1.1260230447766804
macenko,BH,210.9207847109923,18.867289925865208,218.5907478569247,7.976069225544213,234.4312660706804,3.9974049093739263,49.261598489686975,11.8573605546461,28.854681706329416,1.2821811496895146,20.415460482262933,0.6759762511637529,223.55802533305283,7.762644235848806,130.35543965532423,2.789372154353556,120.22744080234081,2.8470463846909837,24.379849123221263,1.096044361978601,13.466538288855759,2.152062004465378,6.122368620645178,1.0908878370138047
macenko,C8,210.7884286848866,13.57447398943924,213.79684436321259,6.007804852995533,230.96579325199127,3.3713569633174316,45.42121554987541,10.744192455014911,28.703654892124668,1.2612774888321872,21.411104391673867,0.5233384686680046,219.92054169275323,5.2519978550001705,131.572469567766,3.025607307804116,119.93677120306054,2.0360366650690125,23.854348824018157,1.311128654069513,13.846748276001245,1.9941125451018165,5.100538794100492,1.131017741377575
macenko,D8,210.01985616033727,14.273755766171401,217.7127845178951,7.277680533102218,233.33421915846986,3.519101426046788,46.62214147242714,7.755691242677011,29.55694605302458,1.0871398210873855,21.56859531044473,0.7658232659402181,222.36838300119746,6.718794098722895,129.72143333531045,2.7451479671019476,120.09691450735191,2.4261442926582153,25.026731517375538,1.0722443829224322,13.238216215521941,1.768016715429761,5.55159522289361,0.7355605561022812
macenko,E2,207.43926058382522,16.21055370365859,218.92567468561776,6.117994462651583,234.3816072083101,3.102321471562233,50.400536337809996,9.794337829538364,29.283118155123532,1.350742595297298,20.95468341435236,0.6513513672775368,222.91434134724665,6.306627537475114,128.8330707237488,2.5590622449251614,119.84002145979463,2.4095750386600083,25.5463355997758,1.1384667293874662,12.677207418294612,1.6152217022187378,6.616243631646548,0.9457840166377468
macenko,E9,183.54729172008928,18.550255212370203,214.7032648961933,4.645117614693548,232.6304397441443,2.272188760773388,67.54284281575842,9.270941834241812,28.540735069445645,1.6061401426526212,20.684335717671626,0.984876694877436,217.21491502406673,5.230114459090653,125.15644111786942,3.22677217689098,117.31702819722264,2.3517541382157114,25.31197167761699,1.3620328416178376,15.920706002713493,1.6532070734241318,7.514924048247283,0.8280303606620995
macenko,EW,217.50745849969775,13.308056012968807,219.65304547409679,7.793445008336529,234.40867140958474,4.041861138741957,42.514190811477434,8.779248808557904,29.287700359014643,0.9531084128654209,20.794962553273695,0.7027748449122285,225.0212160570677,7.002480583671254,131.27345197283944,2.1263332266304626,121.13610506889432,2.2598117846989547,24.198154875739796,0.8374611050641569,12.786692885881317,1.8757544320565818,5.359648607289494,0.7713108968403992
macenko,GI,212.09982016682625,15.493923760753741,219.67609617114067,5.618114088599773,235.0881177186966,2.2512508167364307,46.642066706497076,8.299267925779509,29.027735639423003,0.8284155421774474,21.101085867477295,0.5567601275671595,224.22927683591843,6.091639790031641,129.8349178135395,1.7372981110940249,120.26890471577644,2.4635485809300843,24.747828706941892,0.23891266291573374,13.02781471690752,1.1303721677144303,5.717627621478412,0.42502551795880567
macenko,GM,207.2356959644117,18.97309133985989,217.95400009970916,6.608768974258481,234.40463262482695,2.8756686316460693,50.10400750064645,13.33045455351736,28.888025581864486,1.2800869690928545,20.572215956648858,1.0075107388526328,222.57541377293435,6.851669746658637,129.72141372843794,3.1369691216845936,119.64223471127059,2.8166212047093007,24.82312942343845,1.1641758740456614,13.162243506883765,1.8001924774100524,6.316673881237877,1.2250224674709764
macenko,HN,179.36460201970993,5.892635956244145,207.34470324074067,2.9897755677897253,228.6936671330083,2.5661232355677157,73.91266200461605,2.2154529929374953,27.607224995482987,0.17482612633397918,20.43810602159453,0.004438928668059663,211.40094076818036,3.3903186361389985,127.18053745742765,0.6625128091553013,116.07168392019888,0.5228739195496757,24.954114772282217,0.4237336272808415,16.885740858462253,0.2911647246726124,8.428923201736408,0.11999683438438226
macenko,JL,215.4906860589981,0.4612979313013214,216.66242548823357,6.675716337932735,232.62319821119308,3.8416918166763288,49.374605249515255,1.8808373964764762,30.390270593599087,0.35932198410450805,21.121953948614326,0.16661471770843417,222.80383479595184,4.3150054773133375,131.98959705233574,3.041227363667816,120.78033682703972,0.46945566456484245,24.84688163164268,1.2306009027464169,14.777339528071622,0.693023894495579,5.772625682574317,0.3051726365220738
macenko,LD,206.62550933361052,22.64321316459404,220.53730387687682,4.6147034844294765,235.2151118516922,2.622864312280614,55.206496524223056,17.183089825322117,27.869728468093818,1.1433195924736583,20.34558165289444,0.3770868392888981,224.4671911239624,5.69258930400395,128.71625623703002,4.1713702523916,120.30855569839477,2.862612326151585,24.50033892374757,1.5160553211709287,13.00255398617295,1.9952452443708777,6.540698475837684,1.6600893793588125
macenko,LL,217.7013297959378,14.942821348459493,217.46809616841767,7.55918073949895,233.17234853694313,4.4173849303112735,42.622787220089485,10.43869978464096,28.04171830649527,1.5963658335777198,20.12406527868881,0.6502169879346938,223.7114433018785,7.107269726037063,132.42213405747162,2.027863423055245,121.02310489039672,2.3039715194277406,23.220001247543525,1.0776889039961715,12.573591466040062,1.8271239608061105,5.499003825930626,0.9232260633813842
macenko,LQ,228.4713842868805,,224.72995591163635,,237.34368813037872,,37.36801688882901,,30.258013760629503,,20.907347111184887,,230.1130750775337,,132.21397477388382,,122.62677592039108,,24.870660665853823,,11.360268201815392,,5.493134988309401,
macenko,MS,175.9235079884529,,219.7037165760994,,235.68748503923416,,76.32506724233446,,28.423961448285187,,20.11961126982412,,220.3014535307884,,122.16379022598268,,117.4536239504814,,25.686289350129087,,16.561244854404553,,7.953004750386715,
macenko,OK,197.4833397269249,,219.8759314417839,,234.8419384360313,,56.214415578854926,,29.299542595641057,,21.42157662572732,,221.8843919634819,,125.27901113033296,,118.92004233598708,,26.01652952688947,,14.16555986928234,,6.661263432899247,
macenko,OL,180.213622824351,28.527291373884346,208.76757520039877,8.775721428838498,230.46893121798834,3.8909796209488414,65.39974915042528,14.992381207136818,26.788666101141867,2.0422558253272096,19.946904260359492,1.229961955775908,212.91661472320556,8.893610171768909,127.33390571276347,4.025030618314033,115.91758992274602,3.796668035416781,23.725003628042654,1.3398157584763537,15.834017825478087,2.6693385118174042,7.500170232715869,1.2991751624244516
macenko,PE,201.57338509956995,30.780777160382296,213.6074198881785,10.032970860530712,231.8618430097898,3.736686335367168,45.29492423526009,19.0210333752528,26.877620505863337,1.4786676327716546,21.104191061118843,1.256102197132262,218.68453331788382,11.462589803337151,129.81326152880987,4.048931557659944,118.66178756952286,4.900482228803203,23.30076893332401,2.169681938433196,11.744981850939602,4.4362926615583405,4.946173449758738,2.032929010463235
macenko,PL,237.55673733189835,2.0266067299040773,221.67857664095692,2.5548670512285856,235.0464703362909,2.0877882631353986,26.8213625006921,4.086155335934301,33.610849466441415,3.080987712658935,21.5720768211053,2.1638168854513204,229.72748013979452,2.00167261467137,136.2543318698567,0.7235833597701345,123.69684077188425,0.6156470622714085,25.61811915221785,2.2335588170221343,11.5744212542562,1.1219728630406767,4.73529776370772,0.4070597760047181
macenko,S3,204.2602279484272,13.610895296671718,217.89391614794732,5.128250316523245,233.57340838313104,2.9243980442073947,52.5275522358054,9.373547490481668,28.601334808651547,1.2856012141870032,20.946680921907113,0.7907000242936684,221.77366966605186,5.208646678780362,128.3890432834625,2.309958890894327,119.58321723937988,1.876396781423022,25.116980729264494,0.8416290414374492,13.011696182162604,1.4057857206842912,6.685516673050889,0.8804053078367219
macenko,UL,217.62913191318512,,226.32154631614685,,238.86379700899124,,46.586096782200286,,29.44076599227249,,20.22938701460343,,229.7386537194252,,128.98373556137085,,121.54023337364195,,25.0673429658915,,12.116682699090925,,6.256363904895617,
macenko,UU,203.8311651945114,,213.8055728673935,,230.03304946422577,,51.10284480168664,,28.2113337435814,,21.427764604401236,,219.03655648231504,,129.80949395895004,,119.87664663791656,,23.998588411155872,,13.9192783328368,,5.511703440385862,
macenko,W8,229.9476741552353,,220.80490428209305,,235.7527876496315,,33.18881769687348,,31.02024283842945,,20.12951550669431,,227.9722065925598,,134.64982908964157,,122.24075227975844,,24.3577015711022,,12.286862452515576,,5.316981622452123,
macenko,WT,173.8356150686741,16.744474872625453,214.42083460092545,0.8939408103559752,233.74884152412415,0.05937336131534766,70.56659474901609,5.190451304766635,28.296335212740058,1.4630468257646156,20.241325635567627,1.1878855522006264,215.86935776472092,3.255460426851418,123.39601197838783,4.352292583456668,115.86910223960876,1.9829340324598057,26.10387091576462,1.933249959727412,15.081274618768088,0.5739855300555474,8.276155081358645,0.20514706910587982
