slide_id,tss,stain_condition,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,n_patches_used
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,3C,macenko,210.94974035024643,218.11426520347595,234.24512887001038,47.199913822115086,28.386769786701503,20.739814983729847,222.81757938861847,129.84817051887512,119.87878108024597,24.20692717672182,13.73548003674899,5.508189381930823,256
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,3C,macenko,198.10417729616165,205.2548817396164,227.9077513217926,52.7702673158495,28.850095067141325,21.41572065605888,211.9496073126793,131.47061777114868,116.79948514699936,24.548211156168264,16.048314087371672,5.976710940179766,256
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,3C,macenko,231.75499838590622,234.62795966863632,241.95197540521622,39.267003931893036,25.842269559409175,17.951309301108903,237.42481470108032,129.0370376110077,124.43492579460144,22.492946860473513,9.667310217886927,5.209983899837138,256
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4H,macenko,207.71339231729507,219.713377058506,233.9285854101181,47.135287114602335,29.952107968959098,22.588778781888525,223.14874178171158,127.79585218429565,120.21642661094666,25.49648950130594,13.619399791824705,5.197464690854023,256
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,5T,macenko,222.0927261710167,213.65951865911484,228.37604761123657,37.3979442535856,26.430369728444077,20.374113379060628,221.28561228513718,134.24385499954224,122.15874564647675,22.21883972090235,10.369148483039716,5.013393323387892,256
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,A1,macenko,213.14915370941162,223.00489193201065,235.23145765066147,52.201430028887515,29.775307387429798,20.568171725222392,226.69627898931503,128.94113659858704,121.65272754430771,26.18280795467952,11.41979949336301,6.854709316947286,256
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F,A1,macenko,195.91189056634903,213.7925831079483,227.90449821949005,62.32917572893439,26.44126281006487,19.003261147576367,218.41677194833755,128.8427073955536,120.76082193851471,22.42864991229441,14.10398323939774,7.477802251292441,256
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A,A1,macenko,150.00867521762848,203.3546901345253,229.00596624612808,82.06629885053532,25.811595083937384,19.842793687305566,205.00250762701035,122.12234979867935,111.86234766244888,24.637759986707287,17.7076610533829,8.966999717665502,256
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,A1,macenko,169.4667368531227,213.78501558303833,233.08183586597443,72.56176694695412,27.93394897842264,19.894368505457102,215.05430406332016,122.82781171798706,115.7241849899292,25.158699505250915,15.893553064630996,8.350817122543166,256
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,A1,macenko,187.73355734348297,215.0608081817627,233.73280256986618,70.1534593092397,29.240758580021417,20.307520449635994,218.2118896842003,126.64896023273468,117.31409990787506,26.78965975736006,15.05007269097402,8.801772568410499,256
