stain_condition,n_slides_total,n_slides_used,n_tss_total,n_tss_used,embedding_dim,silhouette_tss,knn_tss_acc_mean,knn_tss_acc_std,knn_neighbors,cv_folds,min_samples_per_tss
raw,1032.0,1024.0,38.0,30.0,1024.0,0.00028587138531440976,0.693359375,0.02209708691207961,5.0,2.0,2.0
staingan,1032.0,1024.0,38.0,30.0,1024.0,-0.03678778110652538,0.62109375,0.008286407592029853,5.0,2.0,2.0
delta_staingan_minus_raw,,,,,,-0.03707365249183979,-0.072265625,-0.013810679320049759,,,
percent_change_staingan_vs_raw,,,,,,-12968.647579422857,-10.422535211267606,,,,
