stain_condition,tss,rgb_mean_r_mean,rgb_mean_r_std,rgb_mean_g_mean,rgb_mean_g_std,rgb_mean_b_mean,rgb_mean_b_std,rgb_std_r_mean,rgb_std_r_std,rgb_std_g_mean,rgb_std_g_std,rgb_std_b_mean,rgb_std_b_std,lab_mean_l_mean,lab_mean_l_std,lab_mean_a_mean,lab_mean_a_std,lab_mean_b_mean,lab_mean_b_std,lab_std_l_mean,lab_std_l_std,lab_std_a_mean,lab_std_a_std,lab_std_b_mean,lab_std_b_std
raw,A1,210.76643712818623,14.349350295988383,179.33199221889177,22.933483810388203,197.70508604248366,14.395950383246241,27.629301352755274,6.472364520102572,34.89904664259836,8.499301673718493,28.835295528621288,6.6379407654855695,194.73338611920676,17.52948621800629,142.99646787842116,8.443217153903484,123.443456624945,3.349613752386906,29.709925894776987,7.338978073355683,8.734783254042588,2.110123173765667,3.5392636510137447,1.281687617503753
raw,A2,208.48746489756036,19.169378260230754,167.53654572457978,23.636182095479743,199.1303555098447,16.902810876257313,29.07470411905654,7.143307636499247,40.78243208403202,8.007353020300974,29.869878187904227,6.021678214609473,186.62866904097373,20.11610841402694,148.63928536754665,6.503862083122463,117.8849532634321,4.230678790134789,34.06233830954041,6.761085202538288,9.863031797671082,3.1331716746878717,4.9734191919571495,1.2203931565718134
raw,A7,184.43812381227812,17.89430319494232,141.89919608405657,25.412949290575504,172.2506950440861,18.75385620197929,37.267520888406594,5.45082129801427,43.6170150065193,6.327483975784157,36.16290252425153,4.916457423291877,162.0715274952707,21.487726355743963,149.66549195420174,5.7245104887167075,118.5100046382064,3.1796292092699407,39.674163244957235,5.836014462825351,7.728122704962661,1.6491041463222098,4.70300430872842,0.8769660545617303
raw,A8,205.60700133140358,11.424875569434514,184.81007749073373,15.363375244684908,224.37554415495973,6.792508920494104,35.57137583396778,5.200918621307997,40.26835340987811,5.132894917100876,26.340647471541136,4.557058614992986,198.37510953026444,12.271962264033892,143.27491849224702,5.243430792514717,110.69386253863104,4.909561320733167,35.54251960999679,5.000618647478281,7.1678279487069245,1.564503122339458,9.332706157362091,1.158222101298553
raw,AC,192.48778886308216,18.23589075287744,158.31428597560452,22.005937146811807,187.63676151390766,15.346597446940715,35.08014671178966,7.299581139243676,43.080890105843814,7.424996556400241,33.782508704941776,6.184594248009168,175.46483735601353,19.455301023060926,146.19354081655536,4.552230774360372,117.62105282731353,3.4520737431293926,38.26901749014603,7.253566910843252,8.244693930131177,1.5686887107835095,5.524286778068761,1.1310248158698868
raw,AN,190.16600824556042,20.25899646636209,143.2334997577052,23.61572812864496,177.1360372977872,17.23761755606235,38.10395193923442,6.516430229044259,43.95107387646793,5.883463228695915,36.26962802314171,5.026128475827126,164.8632891562677,20.96132644076578,151.72615269307167,4.890130402694115,117.3568545118455,3.6827539691692692,39.62065045893165,5.86055240698368,8.884267167416812,1.5568261977043258,4.78581182531063,0.7014668614215681
raw,AO,198.76052884304005,25.275028304923772,163.26756946029872,34.53346264854161,186.11236056037572,22.977720036169924,35.45820946149134,9.477153779077153,44.749612893139194,8.290984179270112,36.948821852251534,6.278237088554306,180.0455668296503,29.326288063788464,145.51430582481882,8.093770311782787,121.3852862832339,5.15479773489403,39.274473279084006,8.254736983255297,8.487650170770692,3.0604435503438725,4.924714555273546,1.835714757536998
raw,AQ,200.7728955745697,31.748335817037116,163.65888025079454,35.502221907905,187.7704259923526,24.128782608876108,27.817914677778457,9.33903632260625,35.9709243087526,2.5923225607303215,29.323933364686592,3.113788963875958,180.99224185943604,31.766606687555907,146.2227859411921,5.604437427786409,120.86079008238656,5.870279938544183,31.26170782724768,4.727314100877294,7.8382032184427555,1.761259787169599,3.784367461086539,1.4045680476504367
raw,AR,188.94432841574968,16.8456265441846,140.0241758752225,22.400378218771433,169.24016918797992,16.314253131511492,35.919801107700174,5.298014033249847,44.434848606928064,5.642751554101291,37.8159474012742,4.483709147702509,162.0807234529239,19.229019746953437,151.72202884261287,5.030531748567813,120.31575420810215,2.995231521076857,39.575443253649745,5.180497743328123,8.526483476475796,1.5621459149012893,4.018511576894583,0.6562208446535241
raw,B6,215.13991758465767,15.154844793165362,167.60916103720666,22.506397261907406,196.97132831692696,13.704584240627105,27.103835920049786,8.944762851700851,41.349482166783666,8.278477102407672,30.811321738861153,6.690061614012529,188.45362999916077,17.92176252847624,150.5192110955715,6.528393781945437,120.2109824180603,3.724624591604372,33.510879242218635,8.00815127815881,10.868758604426318,1.917120847092243,4.2248632981920204,1.283932099450191
raw,BH,205.67862858544004,17.729843155456148,169.1057886477058,24.4160132479472,192.39927735819037,17.46633450227996,32.47410729839673,7.0394039596298645,43.457667925326156,6.933634942483947,34.80111162057949,6.362401098825715,186.14248385497018,20.17951405954123,145.77317252480393,6.601450098447972,121.47759437772399,3.9491337131386883,37.35432924003949,6.4641403275257545,9.147463973913208,2.193522060105289,4.3936022030722475,0.9811617943563702
raw,C8,193.82449138651089,16.304060374633618,152.6345205939546,25.296667674604006,181.32456770721748,20.131211172539683,38.66400932354507,5.965708951520287,47.22397109031962,6.527215408207447,39.38012796798169,6.026358973995753,171.84502005333803,21.0661661439093,148.57340926783425,5.8284859924820545,119.26323379910723,2.860131354827299,42.18787513979662,6.084573507236129,8.308852799581938,1.6743029165989056,4.440107434030871,0.929867555385319
raw,D8,212.06297392117511,10.13652828168323,188.45114414490664,16.85690794628783,205.6245272531138,11.560392436315759,29.457443076293124,5.843712435352024,36.27236965310755,6.514053642156782,29.95434839524208,5.259366787400964,200.62000169537285,13.530465925479835,139.6649762910682,4.3664969668572935,122.46939691862502,2.3065534458613284,32.01932871223506,6.023870105656159,5.6652292822050505,1.445197938960355,3.565787317936032,0.9776190236787163
raw,E2,216.8916029181422,10.750687327485275,183.0632066806642,16.088482555243235,202.09535607550202,10.717502983511054,27.362061328666513,5.101246731072919,39.25252970828956,6.2852171441229805,31.780333329149826,5.0148525541094795,198.44289471100015,12.801402226629707,143.72949893954325,4.64697803680435,123.22354475972129,2.994484402343415,32.71666792443482,5.0793698420385285,9.007431765788283,2.4451781237717065,3.9005552384979123,0.9719575503324692
