stain_condition,n_tss,rgb_mean_r_var_across_tss,rgb_mean_g_var_across_tss,rgb_mean_b_var_across_tss,rgb_std_r_var_across_tss,rgb_std_g_var_across_tss,rgb_std_b_var_across_tss,lab_mean_l_var_across_tss,lab_mean_a_var_across_tss,lab_mean_b_var_across_tss,lab_std_l_var_across_tss,lab_std_a_var_across_tss,lab_std_b_var_across_tss
raw,38.0,199.7214311731074,342.57156164993546,208.60011469027586,45.8994062640775,58.948666467315554,45.73112776436712,245.6659036849562,21.816839853322662,11.495477869969566,49.04545067119249,4.671677354333235,1.6536651741810846
staingan,38.0,196.58114292979369,264.6411184364883,146.93661476518065,41.346135285443836,51.69986641487031,39.714468033493276,204.28338730371843,13.559197208562157,6.564940730778221,43.910843526850805,3.2442644558459066,0.5867884713922847
delta_staingan_minus_raw,,-3.140288243313705,-77.93044321344718,-61.66349992509521,-4.5532709786336625,-7.248800052445247,-6.016659730873847,-41.382516381237764,-8.257642644760505,-4.930537139191345,-5.134607144341686,-1.427412898487328,-1.0668767027887998
percent_reduction_staingan_vs_raw,,1.5723341380384355,22.748660991621417,29.56062608913308,9.920108666410384,12.296800736729791,13.156596010216745,16.84503863194097,37.84985680913307,42.89110200517831,10.46907934186354,30.554612192199553,64.51588383465415
