tss,n_slides_raw,n_slides_reinhard
3C,3,3
A1,12,12
A2,99,99
A7,42,42
A8,78,78
AC,48,48
AN,31,31
AO,46,46
AQ,7,7
AR,67,67
B6,50,50
BH,141,141
C8,49,49
D8,77,77
E2,82,82
E9,62,62
EW,43,43
GI,2,2
GM,19,19
HN,2,2
JL,2,2
LD,5,5
LL,19,19
OL,15,15
PE,3,3
PL,4,4
S3,10,10
WT,2,2
XX,2,2
Z7,2,2
