stain_condition,n_slides_total,n_slides_used,n_tss_total,n_tss_used,embedding_dim,silhouette_tss,knn_tss_acc_mean,knn_tss_acc_std,knn_neighbors,cv_folds,min_samples_per_tss
raw,1032.0,1024.0,38.0,30.0,1024.0,0.00028587138531440976,0.693359375,0.02209708691207961,5.0,2.0,2.0
reinhard,1032.0,1024.0,38.0,30.0,1024.0,-0.021922273891191852,0.6337890625,0.04005097002814429,5.0,2.0,2.0
delta_reinhard_minus_raw,,,,,,-0.02220814527650626,-0.0595703125,0.01795388311606468,,,
percent_change_reinhard_vs_raw,,,,,,-7768.57930431935,-8.591549295774648,,,,
