stain_condition,tss,rgb_mean_r_mean,rgb_mean_r_std,rgb_mean_g_mean,rgb_mean_g_std,rgb_mean_b_mean,rgb_mean_b_std,rgb_std_r_mean,rgb_std_r_std,rgb_std_g_mean,rgb_std_g_std,rgb_std_b_mean,rgb_std_b_std,lab_mean_l_mean,lab_mean_l_std,lab_mean_a_mean,lab_mean_a_std,lab_mean_b_mean,lab_mean_b_std,lab_std_l_mean,lab_std_l_std,lab_std_a_mean,lab_std_a_std,lab_std_b_mean,lab_std_b_std
raw,3C,217.61467283964157,4.722749860002451,179.2142938375473,23.397643810542018,203.36876414219537,9.89501418468526,22.171781463623308,6.080178177471616,34.244719405403195,5.7973884620251885,25.290104396066667,5.058831364432906,196.66632958253226,16.11656247218606,146.1162414352099,9.399442771314307,121.37204668919246,4.05971085212064,27.575348532578875,5.396465109025656,9.755361667696285,0.7395968500460809,3.7294739844574036,1.0356734045605556
raw,4H,208.79491686820984,,185.43579930067065,,200.899764418602,,36.82100044273067,,43.07960607358888,,37.60151114002319,,197.4092892408371,,139.21920305490494,,123.23770117759705,,39.034646582036586,,5.585685800884016,,3.128282824427112,
raw,5T,159.24330741167068,,126.3091357946396,,167.89728558063507,,46.98493596827907,,51.13537833688391,,41.68392925165795,,145.04801601171494,,148.89883542060852,,110.53730523586272,,47.79927798553856,,7.500616105860061,,6.976414440710224,
raw,A1,210.76643712818623,14.349350295988383,179.33199221889177,22.933483810388203,197.70508604248366,14.395950383246241,27.629301352755274,6.472364520102572,34.89904664259836,8.499301673718493,28.835295528621288,6.6379407654855695,194.73338611920676,17.52948621800629,142.99646787842116,8.443217153903484,123.443456624945,3.349613752386906,29.709925894776987,7.338978073355683,8.734783254042588,2.110123173765667,3.5392636510137447,1.281687617503753
raw,A2,208.48746489756036,19.169378260230754,167.53654572457978,23.636182095479743,199.1303555098447,16.902810876257313,29.07470411905654,7.143307636499247,40.78243208403202,8.007353020300974,29.869878187904227,6.021678214609473,186.62866904097373,20.11610841402694,148.63928536754665,6.503862083122463,117.8849532634321,4.230678790134789,34.06233830954041,6.761085202538288,9.863031797671082,3.1331716746878717,4.9734191919571495,1.2203931565718134
raw,A7,184.43812381227812,17.89430319494232,141.89919608405657,25.412949290575504,172.2506950440861,18.75385620197929,37.267520888406594,5.45082129801427,43.6170150065193,6.327483975784157,36.16290252425153,4.916457423291877,162.0715274952707,21.487726355743963,149.66549195420174,5.7245104887167075,118.5100046382064,3.1796292092699407,39.674163244957235,5.836014462825351,7.728122704962661,1.6491041463222098,4.70300430872842,0.8769660545617303
raw,A8,205.60700133140358,11.424875569434514,184.81007749073373,15.363375244684908,224.37554415495973,6.792508920494104,35.57137583396778,5.200918621307997,40.26835340987811,5.132894917100876,26.340647471541136,4.557058614992986,198.37510953026444,12.271962264033892,143.27491849224702,5.243430792514717,110.69386253863104,4.909561320733167,35.54251960999679,5.000618647478281,7.1678279487069245,1.564503122339458,9.332706157362091,1.158222101298553
raw,AC,192.48778886308216,18.23589075287744,158.31428597560452,22.005937146811807,187.63676151390766,15.346597446940715,35.08014671178966,7.299581139243676,43.080890105843814,7.424996556400241,33.782508704941776,6.184594248009168,175.46483735601353,19.455301023060926,146.19354081655536,4.552230774360372,117.62105282731353,3.4520737431293926,38.26901749014603,7.253566910843252,8.244693930131177,1.5686887107835095,5.524286778068761,1.1310248158698868
raw,AN,190.16600824556042,20.25899646636209,143.2334997577052,23.61572812864496,177.1360372977872,17.23761755606235,38.10395193923442,6.516430229044259,43.95107387646793,5.883463228695915,36.26962802314171,5.026128475827126,164.8632891562677,20.96132644076578,151.72615269307167,4.890130402694115,117.3568545118455,3.6827539691692692,39.62065045893165,5.86055240698368,8.884267167416812,1.5568261977043258,4.78581182531063,0.7014668614215681
raw,AO,198.76052884304005,25.275028304923772,163.26756946029872,34.53346264854161,186.11236056037572,22.977720036169924,35.45820946149134,9.477153779077153,44.749612893139194,8.290984179270112,36.948821852251534,6.278237088554306,180.0455668296503,29.326288063788464,145.51430582481882,8.093770311782787,121.3852862832339,5.15479773489403,39.274473279084006,8.254736983255297,8.487650170770692,3.0604435503438725,4.924714555273546,1.835714757536998
