stain_condition,tss,mean,std,median,count
raw,3C,20.239677261649813,19.458720385333343,13.407317334011555,3
raw,4H,24.78797910545415,,24.78797910545415,1
raw,5T,38.749560603562614,,38.749560603562614,1
raw,A1,24.734383549893792,14.844872831803027,22.136191211290594,12
raw,A2,21.455780049231613,11.536340494236724,19.94236038812524,99
raw,A7,26.923661050922192,13.999685685598541,22.750538533134797,42
raw,A8,26.149685128172493,7.988075955570545,25.500189300928753,78
raw,AC,21.10225047964185,11.143672354024313,18.716795667441296,48
raw,AN,23.59350425857921,14.915479924222305,18.921924155193388,31
raw,AO,30.836235071901864,13.964039988568508,27.898377663804908,46
raw,AQ,28.96027891395294,15.076331759644438,27.365667107446153,7
raw,AR,25.926250609273332,11.722354629593392,24.358859877087095,67
raw,B6,20.804208776508926,10.336529492335734,20.506361089399583,50
raw,BH,23.519018820044153,10.172117809703337,22.226553871034557,141
raw,C8,23.49320731061757,12.200148719218248,20.370107355708377,49
raw,D8,28.574464549650425,10.55208783623561,26.928411322529577,77
raw,E2,24.838954480531424,10.000092905723552,25.299711230028976,82
raw,E9,16.54880705859229,7.382070440867506,15.354961185078789,62
raw,EW,25.38541653963514,9.461987708631028,23.976424387714257,43
raw,GI,15.794836012358946,4.108155662624067,15.794836012358946,2
raw,GM,18.00083369195781,4.556638690664747,17.747306208543066,19
raw,HN,12.522796855141495,6.028380555020318,12.522796855141495,2
raw,JL,22.920645359759522,5.405951313182192,22.920645359759522,2
raw,LD,28.168589538632567,12.611081758029709,26.84424402424588,5
raw,LL,25.182059833595574,12.105753267054899,23.686830097884847,19
raw,LQ,23.72255821615619,,23.72255821615619,1
raw,MS,27.23392182412998,,27.23392182412998,1
raw,OK,25.043375755331454,,25.043375755331454,1
raw,OL,19.052624134680276,9.688908285227111,14.284372181263123,15
raw,PE,32.32944396620314,3.801529893558127,33.76775888790201,3
raw,PL,31.983063347547578,3.8216532846944196,31.451463646158413,4
raw,S3,17.476022151491396,7.804269325005628,15.788173228560455,10
raw,UL,24.50183087188889,,24.50183087188889,1
raw,UU,33.55840661041603,,33.55840661041603,1
raw,W8,17.687455834742185,,17.687455834742185,1
raw,WT,30.58308364104702,14.826112930524932,30.58308364104702,2
raw,XX,20.383745447696068,17.54293776050121,20.383745447696068,2
raw,Z7,36.004439970407965,3.59687645879732,36.004439970407965,2
reinhard,3C,1.985439162437174,1.2401279239054142,1.3878500485152252,3
reinhard,4H,1.217758176410846,,1.217758176410846,1
reinhard,5T,1.2784286711003017,,1.2784286711003017,1
reinhard,A1,1.477032010509465,0.6638083647274603,1.295530477866754,12
reinhard,A2,1.1597237482345453,0.20753743862751894,1.1286222676286448,99
reinhard,A7,1.1609484342938932,0.22715990885827975,1.1281335648161612,42
reinhard,A8,1.1811328609981044,0.1704968090177146,1.158481589152935,78
reinhard,AC,1.2037433148280063,0.18086537454697904,1.183017159342473,48
reinhard,AN,1.2130667724952646,0.38713632429376804,1.10572774625773,31
reinhard,AO,1.1400133022203354,0.26527571369202785,1.054622272321882,46
reinhard,AQ,1.2867421101050662,0.24107202450617368,1.2549979619908394,7
reinhard,AR,1.1889677948203377,0.18502670995365356,1.1778511493303234,67
reinhard,B6,1.1309351364899134,0.16111086317885814,1.113422522164771,50
reinhard,BH,1.1194938774896577,0.16078690294765366,1.1002758507077037,141
reinhard,C8,1.2135465580969231,0.16795860106302968,1.1818618721760192,49
reinhard,D8,1.272887678302059,0.24594122398838944,1.2238309491239934,77
reinhard,E2,1.0947961564411146,0.1479801180640041,1.0582046463654595,82
reinhard,E9,1.1065703759835352,0.19916893744686917,1.0504663907283223,62
reinhard,EW,1.1376009321206242,0.15785752269574185,1.1078008434957127,43
reinhard,GI,1.0902390003073623,0.13466887529474256,1.0902390003073623,2
reinhard,GM,1.0737799624740532,0.13843010865432612,1.0672991045169746,19
reinhard,HN,1.6438238385853967,0.6604980521155788,1.6438238385853967,2
reinhard,JL,1.0280162772329788,0.0640033596024614,1.0280162772329788,2
reinhard,LD,1.2794761430211836,0.3228077172114694,1.2461872887597574,5
reinhard,LL,1.1147072397587867,0.17069301636658837,1.0422622146193607,19
reinhard,LQ,0.9818660396085419,,0.9818660396085419,1
reinhard,MS,1.1508921797299867,,1.1508921797299867,1
reinhard,OK,1.1121580017591515,,1.1121580017591515,1
reinhard,OL,1.1526443448606574,0.20075095938318377,1.0746054950310326,15
reinhard,PE,1.1420476153980264,0.12045259028221335,1.1755477528535012,3
reinhard,PL,0.8300643067729875,0.02239302840627719,0.8352575486835324,4
reinhard,S3,1.1239009921482264,0.13306185956807842,1.1112042259360724,10
reinhard,UL,0.9004339958024166,,0.9004339958024166,1
reinhard,UU,1.0828780118507513,,1.0828780118507513,1
reinhard,W8,0.8728893581300079,,0.8728893581300079,1
reinhard,WT,1.458797813814842,0.676903651993108,1.458797813814842,2
reinhard,XX,1.1096999343042793,0.14675396761743698,1.1096999343042793,2
reinhard,Z7,1.3324956372994692,0.243954499187852,1.3324956372994692,2
