slide_id,tss,stain_condition,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,n_patches_used
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,3C,reinhard,208.42254328727722,156.7156776189804,194.6722559928894,28.523099392698025,38.905348122308354,29.478427577741392,179.7461211681366,153.3940839767456,116.1557736992836,32.76199825769478,8.524181636165594,4.301313802608218,256
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,3C,reinhard,208.30122292041779,156.67718422412872,194.59828144311905,29.61575312136576,39.037690755082465,31.283092825726403,179.5902862548828,153.4334592819214,116.10959869623184,33.23557884406542,8.717452098528353,4.2731394318699705,256
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,3C,reinhard,208.61483424901962,156.9726037979126,194.8392043709755,25.946604585319314,36.89234137332321,27.71086244100546,180.10404348373413,153.22983765602112,116.27849626541138,30.58218690101598,7.807215102603993,4.079391003492614,256
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4H,reinhard,208.386261343956,156.57863038778305,194.64223194122314,29.767607085799526,39.221728355867924,30.52971732297539,179.594555914402,153.48380041122437,116.078140437603,33.41360381516653,8.551189101635693,4.291343600369203,256
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,5T,reinhard,208.24667590856552,156.69661003351212,194.66954988241196,30.54771071047114,39.16390816396346,30.493125944232258,179.5582818388939,153.44756323099136,116.04033887386322,33.31463131147884,8.563059002533318,4.234695317703935,256
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,A1,reinhard,207.3197620511055,156.63393586874008,194.75694477558136,31.991415165645094,36.93764456003297,32.741760657774485,179.45463424921036,153.08082127571106,115.9761603474617,32.489297083208264,8.623331137176228,4.225145597700591,256
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F,A1,reinhard,207.28895390033722,156.8358673453331,194.85404002666473,35.19438886249406,32.22583458116519,30.719133002270517,179.45316100120544,152.93045699596405,115.85729140043259,30.523302550650286,8.495404345026135,4.227958382147066,256
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A,A1,reinhard,208.01296663284302,156.56689935922623,194.17296105623245,29.87090609724532,38.388745069735954,31.835076977354394,179.47814857959747,153.3827424645424,116.27551048994064,32.73494322235734,9.060598294854303,4.3098667617467985,256
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,A1,reinhard,208.034024477005,156.63350290060043,194.54226732254028,30.31397369291391,38.54744809709665,33.034075801860865,179.58045774698257,153.38747543096542,116.17742896080017,33.07008406342087,8.984552770165413,4.405202064652976,256
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,A1,reinhard,208.14053362607956,156.69801533222198,194.48838210105896,29.180824846954433,39.13636658191796,32.400580266866704,179.65447521209717,153.4020203948021,116.22463208436966,32.97587252302535,8.983452962775669,4.442204379288557,256
