holdout,model,best_val_cindex_raw,best_val_cindex_staingan,test_cindex_raw,test_cindex_staingan,delta_test_cindex_staingan_minus_raw,delta_val_cindex_staingan_minus_raw
tss_holdout_A2_BH,abmil,0.6809105431309904,0.6026357827476039,0.5471014492753623,0.6304347826086957,0.08333333333333337,-0.07827476038338654
tss_holdout_A2_BH,transmil,0.7176517571884984,0.6261980830670927,0.4758454106280193,0.5084541062801933,0.03260869565217395,-0.0914536741214057
tss_holdout_A2_E2,abmil,0.5520833333333334,0.5234375,0.6388888888888888,0.6183574879227053,-0.020531400966183555,-0.02864583333333337
tss_holdout_A2_E2,transmil,0.6822916666666666,0.6744791666666666,0.6086956521739131,0.5314009661835749,-0.07729468599033817,-0.0078125
tss_holdout_BH_A2,abmil,0.5471014492753623,0.6364734299516909,0.6693290734824281,0.6018370607028753,-0.06749201277955275,0.08937198067632857
tss_holdout_BH_A2,transmil,0.5471014492753623,0.5410628019323671,0.7048722044728435,0.6154153354632588,-0.08945686900958472,-0.006038647342995196
tss_holdout_BH_E2,abmil,0.4869791666666667,0.5416666666666666,0.6797124600638977,0.6082268370607029,-0.07148562300319483,0.054687499999999944
tss_holdout_BH_E2,transmil,0.5833333333333334,0.6171875,0.7264376996805112,0.619408945686901,-0.10702875399361023,0.03385416666666663
tss_holdout_E2_A2,abmil,0.6388888888888888,0.6400966183574879,0.5520833333333334,0.5026041666666666,-0.04947916666666674,0.0012077294685990392
tss_holdout_E2_A2,transmil,0.6195652173913043,0.5398550724637681,0.6692708333333334,0.6484375,-0.02083333333333337,-0.07971014492753625
tss_holdout_E2_BH,abmil,0.6841054313099042,0.6078274760383386,0.4895833333333333,0.5078125,0.018229166666666685,-0.07627795527156556
tss_holdout_E2_BH,transmil,0.7356230031948882,0.6445686900958466,0.5598958333333334,0.5677083333333334,0.0078125,-0.09105431309904155
